date,donald trump,isPartial
2013-03-31,0,False
2013-04-07,0,False
2013-04-14,0,False
2013-04-21,0,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,0,False
2013-05-19,0,False
2013-05-26,0,False
2013-06-02,0,False
2013-06-09,0,False
2013-06-16,0,False
2013-06-23,0,False
2013-06-30,0,False
2013-07-07,0,False
2013-07-14,0,False
2013-07-21,0,False
2013-07-28,0,False
2013-08-04,0,False
2013-08-11,0,False
2013-08-18,0,False
2013-08-25,0,False
2013-09-01,0,False
2013-09-08,0,False
2013-09-15,0,False
2013-09-22,0,False
2013-09-29,0,False
2013-10-06,0,False
2013-10-13,0,False
2013-10-20,0,False
2013-10-27,0,False
2013-11-03,0,False
2013-11-10,0,False
2013-11-17,0,False
2013-11-24,0,False
2013-12-01,0,False
2013-12-08,0,False
2013-12-15,0,False
2013-12-22,0,False
2013-12-29,0,False
2014-01-05,0,False
2014-01-12,0,False
2014-01-19,0,False
2014-01-26,0,False
2014-02-02,0,False
2014-02-09,0,False
2014-02-16,0,False
2014-02-23,0,False
2014-03-02,0,False
2014-03-09,0,False
2014-03-16,0,False
2014-03-23,0,False
2014-03-30,0,False
2014-04-06,0,False
2014-04-13,0,False
2014-04-20,0,False
2014-04-27,0,False
2014-05-04,0,False
2014-05-11,0,False
2014-05-18,0,False
2014-05-25,0,False
2014-06-01,0,False
2014-06-08,0,False
2014-06-15,0,False
2014-06-22,0,False
2014-06-29,0,False
2014-07-06,0,False
2014-07-13,0,False
2014-07-20,0,False
2014-07-27,0,False
2014-08-03,0,False
2014-08-10,0,False
2014-08-17,0,False
2014-08-24,0,False
2014-08-31,0,False
2014-09-07,0,False
2014-09-14,0,False
2014-09-21,0,False
2014-09-28,0,False
2014-10-05,0,False
2014-10-12,0,False
2014-10-19,0,False
2014-10-26,0,False
2014-11-02,0,False
2014-11-09,0,False
2014-11-16,0,False
2014-11-23,0,False
2014-11-30,0,False
2014-12-07,0,False
2014-12-14,0,False
2014-12-21,0,False
2014-12-28,0,False
2015-01-04,0,False
2015-01-11,0,False
2015-01-18,0,False
2015-01-25,1,False
2015-02-01,0,False
2015-02-08,0,False
2015-02-15,0,False
2015-02-22,1,False
2015-03-01,0,False
2015-03-08,0,False
2015-03-15,0,False
2015-03-22,0,False
2015-03-29,0,False
2015-04-05,0,False
2015-04-12,0,False
2015-04-19,0,False
2015-04-26,0,False
2015-05-03,0,False
2015-05-10,0,False
2015-05-17,0,False
2015-05-24,0,False
2015-05-31,0,False
2015-06-07,0,False
2015-06-14,6,False
2015-06-21,4,False
2015-06-28,7,False
2015-07-05,4,False
2015-07-12,6,False
2015-07-19,6,False
2015-07-26,4,False
2015-08-02,6,False
2015-08-09,6,False
2015-08-16,6,False
2015-08-23,8,False
2015-08-30,5,False
2015-09-06,4,False
2015-09-13,7,False
2015-09-20,5,False
2015-09-27,4,False
2015-10-04,3,False
2015-10-11,4,False
2015-10-18,3,False
2015-10-25,4,False
2015-11-01,3,False
2015-11-08,4,False
